# Pin Out For LIFCL-17,,,,,,,,,,
"# Revision 0.9, Aug 04, 2020: Intial Release",,,,,,,,,,
"# Revision 0.91, Aug 12, 2020: Corrected VCCAUXH3/4/5",,,,,,,,,,
"# Revision 0.92, Oct 26, 2020:  Removed referrences to PMU",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PADN,FNC,BANK,DQS,CFG,LVDS,HIGHSPEED,CSFBGA121,WLCSP72,QFN72,CABGA256
214,ADC_DN1,70,-,-,Comp_OF_ADC_DP1,-,-,-,-,K16
216,VCCADC18,70,-,-,-,-,-,-,39,-
223,ADC_DN0,70,-,-,Comp_OF_ADC_DP0,-,-,-,-,K13
224,ADC_REFP0,70,-,-,-,-,-,-,-,L15
225,ADC_DP0,70,-,-,True_OF_ADC_DN0,-,-,-,-,K14
226,VCC,-,-,-,-,-,-,-,40,-
239,PR13A,1,-,PCLKT1_1/EIO,True_OF_PR13B,-,F2,-,-,F16
240,PR13B,1,-,PCLKT1_0/EIO,Comp_OF_PR13A,-,F1,-,-,G15
244,PR11A,1,-,EIO,True_OF_PR11B,-,E2,-,-,G11
245,PR11B,1,-,PCLKT1_2/EIO,Comp_OF_PR11A,-,E1,-,-,G13
252,PR9B,1,-,EIO,Comp_OF_PR9A,-,D1,E2,43,F15
253,PR9A,1,-,TCK/SCLK,True_OF_PR9B,-,C1,D2,41,F14
256,PR7A,1,-,SD3/SDA/USER_SDA,True_OF_PR7B,-,B2,E3,42,G9
257,PR7B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR7A,-,C2,D1,44,G10
261,PR5A,1,-,TDI/SSI/SD0,True_OF_PR5B,-,A3,C3,46,F11
262,PR5B,1,-,TDO/SSO/SD1,Comp_OF_PR5A,-,A2,D3,45,E14
268,VCCAUX,-,-,-,-,-,-,-,47,-
270,PR3B,1,-,TMS/SCSN,-,-,B1,B1,48,E11
271,JTAG_EN,1,-,-,-,-,A1,C2,50,D10
274,VCCIO1,1,-,-,-,-,-,-,49,-
302,VCCIO0,0,-,-,-,-,-,-,54,-
304,PT67A,0,-,-,True_OF_PT67B,-,B3,-,-,E15
305,PT67B,0,-,-,Comp_OF_PT67A,-,C3,-,-,E16
310,PT65A,0,-,MD3,True_OF_PT65B,-,E4,B2,52,D12
311,PT65B,0,-,MCSNO/MSDO,Comp_OF_PT65A,-,E3,-,53,C13
315,PT63A,0,-,MISO/MD1,True_OF_PT63B,-,E5,C4,51,D16
316,PT63B,0,-,MD2,Comp_OF_PT63A,-,D5,B3,55,D15
320,PT61A,0,-,MCSN/PCLKT0_1,True_OF_PT61B,-,E6,A3,56,C15
323,PT61B,0,-,MOSI/MD0,Comp_OF_PT61A,-,D6,B5,57,C14
326,PT59A,0,-,MCLK/PCLKT0_0,True_OF_PT59B,-,E7,B4,59,C16
327,PT59B,0,-,DONE,Comp_OF_PT59A,-,D7,A5,58,B16
331,PT57A,0,-,INITN,True_OF_PT57B,-,E8,-,61,D11
332,PT57B,0,-,PROGRAMN,Comp_OF_PT57A,-,D8,A4,60,C12
349,DPHY1_DP3,61,-,-,True_OF_DPHY1_DN3,-,A5,-,-,A7
352,DPHY1_DN3,61,-,-,Comp_OF_DPHY1_DP3,-,B5,-,-,B7
358,DPHY1_DP1,61,-,-,True_OF_DPHY1_DN1,-,A6,-,-,A6
361,DPHY1_DN1,61,-,-,Comp_OF_DPHY1_DP1,-,B6,-,-,B6
364,DPHY1_CKP,61,-,-,True_OF_DPHY1_CKN,-,A7,-,-,A5
367,DPHY1_CKN,61,-,-,Comp_OF_DPHY1_CKP,-,B7,-,-,B5
370,DPHY1_DP0,61,-,-,True_OF_DPHY1_DN0,-,A8,-,-,A4
373,DPHY1_DN0,61,-,-,Comp_OF_DPHY1_DP0,-,B8,-,-,B4
379,DPHY1_DP2,61,-,-,True_OF_DPHY1_DN2,-,A9,-,-,A3
383,DPHY1_DN2,61,-,-,Comp_OF_DPHY1_DP2,-,B9,-,-,B3
388,VCC,-,-,-,-,-,-,-,62,-
392,VCCPLLDPHY0,60,-,-,-,-,-,-,63,-
396,DPHY0_DP3,60,-,-,True_OF_DPHY0_DN3,-,A11,C6,64,B1
399,DPHY0_DN3,60,-,-,Comp_OF_DPHY0_DP3,-,A10,D6,65,B2
402,DPHY0_DP1,60,-,-,True_OF_DPHY0_DN1,-,B11,B7,66,C1
405,DPHY0_DN1,60,-,-,Comp_OF_DPHY0_DP1,-,B10,C7,67,C2
408,DPHY0_CKP,60,-,-,True_OF_DPHY0_CKN,-,C11,A8,68,D1
413,DPHY0_CKN,60,-,-,Comp_OF_DPHY0_CKP,-,C10,B8,69,D2
416,VCCDPHY0,60,-,-,-,-,-,-,70,-
418,DPHY0_DP0,60,-,-,True_OF_DPHY0_DN0,-,D11,A9,4,E1
423,DPHY0_DN0,60,-,-,Comp_OF_DPHY0_DP0,-,D10,B9,3,E2
425,VCCADPHY0,60,-,-,-,-,-,-,71,-
426,DPHY0_DP2,60,-,-,True_OF_DPHY0_DN2,-,E11,C8,1,F1
429,DPHY0_DN2,60,-,-,Comp_OF_DPHY0_DP2,-,E10,C9,2,F2
431,VCCDPHY0,60,-,-,-,-,-,-,72,-
